Seat_Class,Booking_Channel,Origin,Destination,Distance_km,Route_Category,Customer_Segment,Loyalty_Status,Booking_Frequency_Qtr,Average_Spend_GBP,Total_Seats,Seats_Sold_Realized,Remaining_Seats_Realized,Demand_Index,Base_Price_At_Booking,Days_Before_Travel,Price_Premium,Load_Factor,Ticket_Price_GBP
First,Mobile,London,Paris,273.2,Medium,Student,Gold,2,102.23,150,111,39,2.315,99.05,2,1.408,0.743,154.29
Standard,Web,Manchester,Brussels,1003.1,Long,Leisure,Silver,18,407.82,250,222,28,0.764,160.07,40,0.981,0.888,141.17
Standard,Agent,Glasgow,Amsterdam,790.3,Long,Business,None,8,337.25,200,107,93,2.351,130.26,71,1.034,0.535,189.08
Standard,Web,Birmingham,Amsterdam,287.3,Medium,Business,Platinum,17,435.68,300,220,80,2.744,61.08,178,0.995,0.735,80.61
Standard,Web,Leeds,Frankfurt,175.3,Short,Business,None,0,473.33,150,51,99,0.64,45.89,150,1.022,0.341,33.08
Business,Mobile,Leeds,Brussels,434.0,Medium,Leisure,None,16,468.29,250,238,12,1.527,92.56,135,1.007,0.953,102.03
Standard,Mobile,Edinburgh,Frankfurt,324.6,Medium,Business,Platinum,11,89.68,100,92,8,1.521,77.56,125,1.003,0.927,74.35
First,Mobile,London,Paris,300.4,Medium,Business,Platinum,17,200.87,200,189,11,2.526,87.94,73,0.966,0.946,114.76
Standard,Web,Manchester,Lyon,791.6,Long,Business,Silver,1,251.89,100,97,3,0.797,130.42,109,1.022,0.978,122.79
Standard,Web,London,Lyon,133.2,Short,Student,None,6,398.7,300,267,33,0.879,35.56,163,0.955,0.892,33.35
Standard,Mobile,Birmingham,Brussels,159.6,Short,Leisure,None,3,27.11,100,44,56,1.458,54.46,102,1.028,0.448,68.1
Standard,Agent,Birmingham,Frankfurt,301.4,Medium,Student,Silver,3,464.21,150,106,44,2.629,69.76,24,1.192,0.707,111.28
Business,Station,Glasgow,Frankfurt,99.8,Short,Leisure,Silver,10,215.47,150,63,87,2.967,57.43,164,1.03,0.426,94.48
First,Web,Leeds,Paris,488.1,Medium,Business,Gold,3,322.93,150,47,103,1.865,119.01,53,0.969,0.314,137.05
Business,Station,Leeds,Frankfurt,1263.6,Long,Leisure,Gold,14,490.69,150,60,90,0.895,215.09,107,0.981,0.4,191.74
Business,Web,Manchester,Cologne,282.9,Medium,Leisure,Silver,1,443.68,200,177,23,2.757,85.15,154,0.971,0.889,125.51
Standard,Mobile,Bristol,Cologne,944.0,Long,Student,Gold,1,193.85,250,205,45,0.906,143.96,56,0.973,0.821,129.32
Business,Web,London,Amsterdam,548.0,Medium,Leisure,Gold,8,252.57,150,124,26,1.419,105.83,86,1.031,0.832,119.64
Standard,Web,London,Cologne,496.1,Medium,Senior,Gold,12,389.57,300,175,125,2.352,88.57,89,0.956,0.584,112.4
Standard,Mobile,Birmingham,Cologne,265.0,Medium,Leisure,Platinum,14,376.91,300,95,205,0.649,65.78,43,0.997,0.319,52.87
Standard,Mobile,London,Amsterdam,107.9,Short,Senior,Platinum,18,358.3,150,78,72,1.712,50.38,89,1.01,0.522,49.42
Standard,Web,Manchester,Cologne,589.3,Medium,Business,None,6,25.13,250,154,96,1.518,102.73,41,1.045,0.619,116.54
Standard,Web,Edinburgh,Cologne,128.8,Short,Business,Platinum,16,115.53,300,165,135,2.863,42.18,89,1.015,0.551,57.4
Standard,Web,Leeds,Amsterdam,1247.4,Long,Leisure,None,15,126.41,200,130,70,1.865,172.75,166,1.02,0.651,213.55
First,Mobile,Birmingham,Brussels,63.8,Short,Leisure,Platinum,3,140.3,250,182,68,2.719,65.59,7,1.154,0.729,97.0
Standard,Web,Leeds,Rotterdam,174.9,Short,Leisure,Gold,3,66.17,250,95,155,0.722,50.08,40,0.987,0.383,41.07
Standard,Web,Leeds,Amsterdam,441.9,Medium,Business,Silver,7,407.17,250,234,16,1.894,89.87,108,0.985,0.936,110.37
Standard,Mobile,Leeds,Amsterdam,270.2,Medium,Business,None,19,183.82,300,207,93,2.23,63.13,152,1.02,0.692,94.0
Standard,Mobile,Edinburgh,Cologne,107.0,Short,Business,None,10,392.28,200,179,21,0.878,37.5,83,0.987,0.899,43.51
First,Mobile,London,Lyon,62.5,Short,Student,None,8,467.13,150,94,56,2.621,58.54,150,1.017,0.632,82.23
Standard,Mobile,Bristol,Rotterdam,1299.3,Long,Business,Platinum,13,170.25,300,243,57,2.698,201.69,46,1.005,0.812,275.99
Business,Station,Leeds,Cologne,498.0,Medium,Leisure,Silver,9,237.81,250,231,19,2.195,117.25,23,1.156,0.927,165.09
First,Agent,Manchester,Brussels,123.5,Short,Leisure,Silver,15,62.01,250,180,70,1.801,83.45,84,0.983,0.721,105.3
Standard,Station,Leeds,Amsterdam,380.8,Medium,Student,Platinum,13,161.52,250,146,104,2.235,85.32,84,0.97,0.586,104.34
Standard,Mobile,Leeds,Paris,119.5,Short,Leisure,None,19,282.2,250,175,75,1.213,53.39,135,0.953,0.703,54.34
First,Web,London,Amsterdam,55.6,Short,Business,Gold,9,106.49,300,125,175,0.777,66.93,162,0.977,0.417,60.68
First,Agent,Glasgow,Rotterdam,931.4,Long,Leisure,Silver,18,277.76,100,79,21,1.88,178.61,139,1.007,0.792,234.29
First,Web,Manchester,Brussels,251.4,Medium,Leisure,None,7,170.18,100,32,68,1.706,90.52,171,1.033,0.326,103.43
First,Web,London,Rotterdam,77.7,Short,Business,Platinum,5,495.22,300,185,115,1.566,77.51,72,1.03,0.617,79.0
Standard,Web,Leeds,Frankfurt,1465.9,Long,Business,Gold,19,200.34,100,68,32,0.973,221.3,102,1.027,0.682,203.15
Standard,Web,Glasgow,Rotterdam,835.6,Long,Business,None,0,38.75,300,174,126,0.976,132.29,139,0.967,0.582,117.73
Standard,Agent,London,Cologne,122.5,Short,Business,Silver,15,247.02,300,191,109,2.963,56.47,43,1.018,0.638,85.7
Business,Mobile,London,Lyon,555.1,Medium,Leisure,Platinum,0,180.33,300,126,174,2.818,111.42,25,1.123,0.423,164.17
Standard,Mobile,Birmingham,Lyon,972.1,Long,Leisure,None,2,197.61,250,88,162,1.133,150.68,31,0.983,0.355,160.54
Standard,Mobile,Edinburgh,Cologne,411.4,Medium,Business,Silver,7,197.86,150,91,59,0.65,78.18,154,1.024,0.61,62.38
Standard,Web,Glasgow,Cologne,267.5,Medium,Business,Gold,7,442.96,100,95,5,1.312,74.16,71,0.98,0.954,73.1
Standard,Web,Bristol,Brussels,314.0,Medium,Leisure,Platinum,1,259.17,300,127,173,2.613,74.35,173,1.013,0.426,108.7
Standard,Mobile,Glasgow,Amsterdam,402.4,Medium,Business,Gold,11,141.36,200,99,101,1.059,87.67,64,1.018,0.498,84.63
First,Mobile,Edinburgh,Paris,346.0,Medium,Business,None,15,400.4,250,228,22,2.96,108.64,20,1.197,0.915,188.36
Standard,Web,Edinburgh,Amsterdam,215.3,Medium,Leisure,Silver,10,232.85,200,97,103,1.009,56.56,79,0.966,0.487,46.53
Business,Mobile,Manchester,Amsterdam,110.1,Short,Business,Gold,16,89.77,100,56,44,1.895,59.02,80,0.968,0.57,66.84
Standard,Web,Birmingham,Paris,1333.6,Long,Business,None,13,499.28,100,37,63,2.981,198.03,99,0.996,0.371,315.61
Standard,Web,Birmingham,Lyon,67.4,Short,Leisure,Silver,4,33.13,200,66,134,0.825,41.02,54,1.003,0.333,37.42
First,Web,London,Amsterdam,207.5,Medium,Business,Gold,0,360.43,300,228,72,0.994,84.08,35,0.989,0.762,78.78
First,Web,Edinburgh,Frankfurt,247.5,Medium,Business,Gold,7,426.83,200,80,120,1.976,99.11,104,1.014,0.404,123.82
Standard,Station,Glasgow,Frankfurt,474.7,Medium,Senior,None,8,189.83,300,207,93,2.473,83.62,112,1.01,0.691,117.34
First,Station,Bristol,Brussels,517.9,Medium,Business,None,1,95.52,250,150,100,2.256,114.42,34,1.016,0.601,156.8
Standard,Web,Manchester,Brussels,219.5,Medium,Leisure,Silver,12,229.55,300,109,191,1.973,58.22,103,1.04,0.366,71.01
Standard,Mobile,Glasgow,Rotterdam,183.1,Short,Leisure,Gold,10,251.59,200,120,80,1.576,61.04,125,0.965,0.6,69.23
Standard,Mobile,Birmingham,Paris,450.9,Medium,Student,Gold,15,499.86,150,71,79,2.466,89.79,129,1.032,0.474,118.98
Standard,Web,London,Paris,1066.3,Long,Student,None,3,29.34,250,225,25,0.852,169.18,9,1.16,0.901,161.85
Standard,Web,Bristol,Brussels,828.2,Long,Leisure,None,6,334.82,250,121,129,1.113,133.09,105,1.038,0.484,145.2
Standard,Agent,Edinburgh,Cologne,348.7,Medium,Leisure,Gold,16,406.14,200,157,43,2.473,79.05,94,0.952,0.789,109.71
Standard,Mobile,Glasgow,Amsterdam,192.0,Short,Business,Platinum,6,316.59,150,116,34,1.203,63.37,21,1.183,0.779,67.35
Standard,Agent,Bristol,Cologne,186.7,Short,Business,Gold,1,322.37,150,65,85,0.846,59.04,22,1.121,0.435,52.13
Standard,Web,Birmingham,Lyon,143.8,Short,Leisure,Silver,17,440.15,100,68,32,2.607,47.7,108,1.045,0.689,71.73
Business,Mobile,Manchester,Frankfurt,431.6,Medium,Business,Platinum,8,291.28,150,133,17,2.422,113.45,90,0.982,0.889,145.0
Standard,Web,Glasgow,Paris,81.6,Short,Leisure,Silver,8,443.16,100,37,63,2.097,58.95,159,1.022,0.37,72.29
Standard,Web,Edinburgh,Brussels,1458.0,Long,Leisure,Silver,10,120.89,300,218,82,2.14,219.62,37,1.031,0.727,283.15
First,Mobile,Manchester,Frankfurt,1279.9,Long,Leisure,None,3,267.74,300,125,175,2.159,206.35,176,1.042,0.419,280.3
Standard,Web,Leeds,Cologne,107.3,Short,Business,Platinum,3,36.13,300,140,160,2.326,50.64,130,0.97,0.469,54.59
Standard,Web,Bristol,Paris,526.3,Medium,Student,Silver,4,405.67,100,75,25,1.288,104.2,104,1.012,0.754,113.1
Standard,Web,Bristol,Paris,790.7,Long,Business,None,16,393.1,150,112,38,2.663,133.05,144,0.954,0.747,192.88
Standard,Web,London,Rotterdam,82.0,Short,Leisure,None,4,278.74,200,153,47,1.149,40.92,50,0.956,0.765,41.85
Business,Mobile,Edinburgh,Amsterdam,516.4,Medium,Student,None,3,210.0,250,170,80,1.534,114.16,125,0.991,0.68,138.8
First,Web,Bristol,Paris,423.7,Medium,Leisure,None,2,197.65,150,127,23,1.776,106.19,23,1.169,0.849,135.39
Standard,Web,Birmingham,Lyon,133.4,Short,Student,None,0,116.53,100,75,25,2.516,38.05,124,1.015,0.754,64.79
Business,Web,Leeds,Paris,429.5,Medium,Student,Platinum,19,225.39,200,89,111,1.583,109.42,99,0.997,0.449,115.38
First,Web,Birmingham,Lyon,713.2,Long,Leisure,None,2,165.88,100,37,63,1.77,154.68,6,1.41,0.371,225.21
Standard,Mobile,Manchester,Cologne,339.8,Medium,Leisure,Silver,7,297.28,100,30,70,2.631,77.86,36,1.012,0.307,114.61
Business,Web,Leeds,Rotterdam,429.2,Medium,Student,None,5,397.51,250,76,174,2.999,75.91,150,1.034,0.305,121.13
Standard,Mobile,Leeds,Amsterdam,87.1,Short,Business,Gold,1,353.19,200,74,126,2.483,57.69,139,1.039,0.374,79.45
First,Web,Birmingham,Rotterdam,1053.6,Long,Leisure,Silver,0,266.7,300,181,119,1.254,180.88,122,0.988,0.604,186.4
Business,Web,Bristol,Lyon,1101.3,Long,Student,None,19,475.33,150,45,105,0.775,171.39,77,0.957,0.304,154.88
Standard,Station,Birmingham,Cologne,191.4,Short,Leisure,Platinum,3,114.72,300,170,130,2.237,49.85,173,0.974,0.568,68.76
Standard,Mobile,Edinburgh,Frankfurt,821.2,Long,Leisure,Gold,8,327.19,100,84,16,2.217,133.96,56,0.96,0.844,171.89
Standard,Web,Manchester,Rotterdam,115.9,Short,Business,Platinum,11,62.26,250,97,153,1.722,53.56,173,1.029,0.39,64.86
Standard,Station,Glasgow,Rotterdam,197.2,Short,Business,None,18,343.05,200,170,30,2.312,61.17,172,0.956,0.852,80.97
First,Web,Leeds,Paris,274.7,Medium,Leisure,Silver,13,368.16,250,108,142,0.658,91.41,94,0.997,0.433,83.83
Business,Station,Edinburgh,Rotterdam,512.0,Medium,Leisure,Platinum,17,395.66,250,115,135,2.986,122.21,105,1.004,0.46,189.38
Standard,Mobile,Bristol,Brussels,270.9,Medium,Business,Gold,16,338.6,200,94,106,1.71,67.34,129,1.033,0.471,82.34
Standard,Mobile,Bristol,Brussels,540.0,Medium,Business,Gold,17,78.86,200,105,95,1.918,98.01,28,1.17,0.527,126.41
Standard,Agent,Birmingham,Lyon,123.2,Short,Student,Silver,16,41.26,200,130,70,1.831,52.67,4,1.41,0.651,81.51
Standard,Web,London,Amsterdam,195.8,Short,Business,Gold,8,362.85,250,194,56,1.862,54.01,132,1.008,0.776,66.42
Standard,Mobile,Leeds,Lyon,268.0,Medium,Business,Gold,11,403.15,100,84,16,2.456,54.21,78,0.997,0.843,86.79
Standard,Web,Leeds,Rotterdam,153.2,Short,Leisure,None,18,35.67,250,78,172,0.679,54.03,87,1.04,0.315,49.65
Business,Web,London,Rotterdam,154.3,Short,Student,Gold,14,91.97,100,40,60,2.802,71.26,58,0.968,0.402,108.55
Standard,Web,Bristol,Cologne,157.8,Short,Leisure,Gold,17,399.34,150,123,27,1.358,52.1,111,1.046,0.824,50.79
Standard,Web,Bristol,Rotterdam,690.9,Long,Business,None,16,484.56,100,84,16,2.063,120.6,42,1.01,0.841,161.24
First,Mobile,Glasgow,Cologne,859.7,Long,Senior,None,13,269.86,150,144,6,0.645,160.36,40,0.974,0.961,145.09
Standard,Mobile,Glasgow,Rotterdam,100.7,Short,Student,None,9,93.59,300,151,149,1.722,42.86,74,1.023,0.504,58.92
Business,Mobile,Leeds,Rotterdam,98.6,Short,Business,Platinum,19,174.21,150,68,82,2.537,56.99,135,0.987,0.458,75.33
Business,Web,Glasgow,Lyon,470.0,Medium,Business,Gold,1,395.08,250,175,75,1.283,100.79,130,0.96,0.702,86.21
Standard,Web,Glasgow,Lyon,649.3,Long,Senior,Gold,15,280.75,300,106,194,1.399,99.84,34,0.958,0.355,102.86
Standard,Agent,Manchester,Frankfurt,159.5,Short,Student,Gold,5,47.74,250,202,48,2.111,58.19,118,1.006,0.808,67.97
Standard,Web,Leeds,Cologne,1073.9,Long,Business,Silver,4,168.04,250,158,92,0.673,153.73,120,1.014,0.635,138.0
Standard,Mobile,Bristol,Frankfurt,269.2,Medium,Business,Platinum,0,381.34,150,119,31,1.459,86.08,51,0.983,0.797,84.08
Standard,Mobile,Bristol,Lyon,803.5,Long,Leisure,None,6,176.37,200,82,118,2.454,116.07,12,1.169,0.411,181.01
Standard,Mobile,Glasgow,Amsterdam,64.6,Short,Business,Gold,6,227.52,250,156,94,2.173,39.01,56,0.977,0.625,52.64
Standard,Mobile,Manchester,Paris,1013.2,Long,Leisure,None,12,454.42,300,162,138,1.863,172.81,76,0.985,0.542,210.54
Standard,Station,Glasgow,Cologne,438.0,Medium,Leisure,None,4,492.63,250,157,93,1.964,85.46,16,1.123,0.63,119.92
Standard,Web,Glasgow,Brussels,1122.9,Long,Business,None,19,383.46,200,138,62,1.137,163.96,136,1.013,0.691,170.69
Business,Station,Edinburgh,Frankfurt,584.9,Medium,Leisure,Silver,17,135.26,200,155,45,2.868,108.58,170,0.999,0.779,166.05
Standard,Web,Edinburgh,Cologne,318.4,Medium,Leisure,Gold,7,136.71,250,226,24,2.991,73.8,6,1.365,0.907,137.79
Standard,Web,Manchester,Paris,1285.9,Long,Leisure,Silver,14,166.05,200,92,108,0.908,180.8,177,1.047,0.463,164.71
Standard,Web,Manchester,Frankfurt,489.2,Medium,Leisure,None,15,97.07,150,89,61,0.69,93.54,139,1.04,0.599,91.37
Business,Mobile,Edinburgh,Cologne,224.5,Medium,Leisure,Platinum,8,105.84,100,37,63,0.934,84.01,158,1.028,0.379,74.66
Standard,Web,Edinburgh,Frankfurt,572.0,Medium,Senior,None,15,142.88,200,106,94,1.289,100.13,138,0.96,0.534,106.37
First,Web,Edinburgh,Frankfurt,1438.2,Long,Business,Platinum,5,336.75,250,141,109,2.278,237.77,87,0.994,0.566,294.76
First,Web,Edinburgh,Lyon,956.7,Long,Leisure,Platinum,10,313.99,200,121,79,1.842,172.3,18,1.152,0.609,213.24
Standard,Station,Leeds,Rotterdam,112.7,Short,Leisure,Silver,12,183.63,250,237,13,0.639,60.91,62,1.044,0.949,57.17
First,Station,Leeds,Lyon,527.8,Medium,Business,None,1,114.4,300,281,19,1.757,129.92,9,1.136,0.937,163.95
Standard,Mobile,Glasgow,Frankfurt,1045.5,Long,Business,Gold,16,319.53,250,87,163,1.99,172.36,73,1.017,0.348,212.6
Standard,Mobile,Birmingham,Frankfurt,519.7,Medium,Business,Gold,1,82.82,300,177,123,0.834,99.81,114,1.005,0.59,75.4
Standard,Web,Glasgow,Rotterdam,632.5,Long,Leisure,Silver,12,90.2,100,52,48,0.715,122.83,134,1.031,0.524,112.41
Standard,Web,Manchester,Brussels,825.2,Long,Leisure,None,18,204.02,150,82,68,1.549,129.6,80,0.961,0.553,153.46
Standard,Station,London,Paris,682.0,Long,Leisure,Gold,0,292.34,100,82,18,2.438,115.3,76,1.033,0.825,161.6
First,Web,Birmingham,Rotterdam,381.7,Medium,Business,Silver,4,369.58,250,109,141,0.913,109.09,130,1.015,0.438,95.09
Standard,Web,London,Paris,1368.7,Long,Student,None,15,349.75,100,82,18,0.822,189.56,154,0.961,0.829,173.18
Standard,Web,London,Amsterdam,1112.8,Long,Student,Platinum,5,201.66,300,282,18,2.599,165.87,9,1.174,0.942,242.51
Standard,Web,Bristol,Rotterdam,1068.3,Long,Leisure,Platinum,13,334.23,100,78,22,1.141,165.83,5,1.383,0.786,171.37
Standard,Web,Manchester,Amsterdam,104.9,Short,Student,None,7,121.45,150,88,62,0.798,43.55,92,0.958,0.588,47.57
First,Mobile,Leeds,Amsterdam,59.5,Short,Senior,None,17,257.0,200,68,132,2.766,79.08,94,0.994,0.344,130.83
Standard,Web,Birmingham,Lyon,506.6,Medium,Business,Silver,4,315.33,300,111,189,1.459,101.07,145,0.968,0.373,109.27
Standard,Mobile,Glasgow,Lyon,428.3,Medium,Business,None,10,377.31,100,80,20,1.544,90.49,62,0.977,0.8,96.85
Standard,Web,Manchester,Brussels,189.6,Short,Senior,None,12,58.2,100,37,63,2.921,52.47,47,1.05,0.379,75.12
Standard,Web,Edinburgh,Lyon,114.8,Short,Leisure,Platinum,8,68.55,100,59,41,2.263,56.6,39,0.965,0.59,66.84
Standard,Web,Manchester,Amsterdam,110.2,Short,Leisure,Platinum,14,55.45,300,273,27,2.778,36.08,128,0.988,0.91,40.42
First,Mobile,London,Cologne,1476.9,Long,Senior,None,12,282.31,100,67,33,1.26,239.04,59,1.016,0.675,261.35
Standard,Web,Leeds,Frankfurt,727.0,Long,Business,Gold,2,293.63,200,107,93,2.016,130.72,6,1.447,0.536,203.5
Business,Mobile,Edinburgh,Amsterdam,827.1,Long,Student,None,2,25.29,250,115,135,1.663,148.26,115,0.987,0.462,182.42
Standard,Mobile,Manchester,Brussels,395.3,Medium,Student,None,14,335.22,100,67,33,2.998,72.07,166,0.971,0.678,118.73
Standard,Mobile,Manchester,Frankfurt,409.4,Medium,Leisure,None,17,386.4,200,107,93,1.713,86.9,142,0.991,0.538,115.88
Standard,Web,Leeds,Lyon,419.5,Medium,Business,None,19,75.97,300,291,9,2.218,72.41,80,0.966,0.971,99.38
Business,Web,London,Frankfurt,284.8,Medium,Business,Silver,8,181.92,250,77,173,1.004,71.49,101,1.049,0.309,69.17
Business,Web,Glasgow,Cologne,570.7,Medium,Leisure,Gold,15,427.99,300,288,12,0.851,129.38,160,0.997,0.962,116.38
Standard,Mobile,Edinburgh,Brussels,481.4,Medium,Leisure,Silver,19,349.86,250,112,138,0.747,100.35,159,1.016,0.448,78.88
First,Web,London,Lyon,88.8,Short,Business,Silver,16,166.23,200,140,60,1.931,55.12,145,0.986,0.702,62.58
First,Station,Leeds,Paris,317.7,Medium,Leisure,None,12,376.28,200,97,103,2.684,88.04,4,1.376,0.485,156.42
Standard,Station,Manchester,Amsterdam,182.1,Short,Leisure,Gold,11,445.89,250,218,32,2.684,62.73,107,0.959,0.872,92.57
Standard,Web,Glasgow,Rotterdam,107.1,Short,Leisure,None,0,168.47,200,157,43,0.674,56.91,6,1.428,0.789,50.37
Standard,Web,Birmingham,Cologne,422.5,Medium,Business,None,5,348.46,150,69,81,2.486,87.0,158,1.006,0.464,123.78
Standard,Mobile,Birmingham,Cologne,68.1,Short,Student,None,5,64.84,250,173,77,2.7,39.18,119,0.971,0.695,60.99
Business,Web,Bristol,Rotterdam,300.7,Medium,Business,None,15,48.17,100,93,7,2.518,89.0,75,1.017,0.936,133.5
Business,Web,Birmingham,Amsterdam,112.5,Short,Leisure,Silver,13,301.4,100,45,55,0.561,72.65,91,0.975,0.457,57.47
Standard,Station,Leeds,Brussels,462.5,Medium,Senior,None,6,256.36,100,87,13,2.264,86.42,9,1.121,0.87,124.27
Standard,Web,Leeds,Brussels,852.2,Long,Leisure,Gold,2,408.84,100,85,15,1.428,145.68,152,1.037,0.855,153.23
Standard,Agent,Leeds,Cologne,580.3,Medium,Leisure,Platinum,2,394.54,100,56,44,2.32,98.66,20,1.149,0.568,148.23
First,Mobile,Edinburgh,Amsterdam,288.1,Medium,Leisure,None,14,157.61,150,49,101,1.647,86.58,13,1.153,0.327,113.87
Business,Mobile,Bristol,Frankfurt,1301.0,Long,Leisure,Silver,6,265.89,100,41,59,2.175,209.74,55,1.027,0.417,277.44
Business,Web,Edinburgh,Paris,345.8,Medium,Leisure,Silver,3,382.77,200,126,74,1.185,97.37,92,0.998,0.632,101.21
First,Web,Glasgow,Paris,175.0,Short,Leisure,Platinum,5,150.06,300,188,112,0.865,84.01,96,0.974,0.629,68.39
Standard,Mobile,Birmingham,Brussels,188.5,Short,Leisure,None,12,193.74,200,74,126,2.804,55.92,101,1.023,0.374,81.47
Standard,Web,Glasgow,Brussels,274.8,Medium,Business,Gold,6,48.73,200,100,100,2.297,70.68,19,1.185,0.501,108.94
Standard,Web,Birmingham,Frankfurt,396.6,Medium,Leisure,None,12,82.63,150,84,66,2.859,82.57,47,1.013,0.564,127.12
Business,Web,Manchester,Brussels,73.2,Short,Business,Silver,17,312.91,150,130,20,2.518,59.02,71,1.03,0.872,82.56
